product_type,ram,storage,color,merchant_city,price,daily_view,brand_asus,brand_honor,brand_huawei,brand_infinix,brand_nokia,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,cod_True,merchant_badge_PM,merchant_badge_RM
8,-1.4327298741346175,-0.7066392746783967,9,73,-0.07770342258932036,-0.883731298206345,False,False,False,False,False,False,False,False,False,False,False,False,True
95,-0.4001787346698652,-0.7066392746783967,9,71,-0.7067777930710203,-0.2658518255346344,False,False,False,False,False,True,False,False,False,False,False,True,False
251,-0.9164543044022413,-0.9335530517274802,9,109,-1.4595633402822619,-0.6556903689642588,False,False,False,False,False,False,False,False,False,True,False,True,False
9,-1.4327298741346175,-0.7066392746783967,2,81,0.21926264862733125,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,False,True
253,-0.9164543044022413,-0.7066392746783967,9,113,-1.2525010355037085,0.569555781822076,False,False,False,False,False,False,False,False,False,True,False,True,False
232,1.1486479745272633,0.6548433876161043,1,72,0.7816977933876681,2.650579706404776,False,False,False,False,False,False,False,False,False,True,False,False,False
95,-0.4001787346698652,-0.7066392746783967,0,70,-0.17603045665087927,-1.0455289123938831,False,False,False,False,False,True,False,False,False,False,False,True,False
129,-0.4001787346698652,-0.7066392746783967,7,71,-0.7980373197042941,2.0030782636730446,False,False,False,False,False,False,True,False,False,False,False,False,False
251,-0.9164543044022413,-0.9335530517274802,9,6,-1.4797997486787042,0.048886241311039906,False,False,False,False,False,False,False,False,False,True,False,True,False
125,0.11609683506251094,0.6548433876161043,1,101,-0.17603045665087927,0.26792828844004507,False,False,False,False,False,False,True,False,False,False,False,True,False
41,1.1486479745272633,-0.2528117205802297,0,71,-0.6210386837226249,0.9094920240951085,True,False,False,False,False,False,False,False,False,False,False,False,False
252,-0.4001787346698652,-0.7066392746783967,9,87,-1.026846148348961,-1.0455289123938831,False,False,False,False,False,False,False,False,False,True,False,True,False
125,0.11609683506251094,-0.2528117205802297,4,71,-0.7290479215895129,1.103678103372481,False,False,False,False,False,False,True,False,False,False,False,True,False
11,-0.9164543044022413,-0.2528117205802297,3,72,-0.12577026168157385,-0.6556903689642588,False,False,False,False,False,False,False,False,False,False,False,True,False
203,1.1486479745272633,0.6548433876161043,10,63,0.013358472027691071,-0.14035184593467115,False,False,False,False,False,False,False,False,True,False,False,True,False
167,-0.4001787346698652,-0.7066392746783967,9,74,-0.4239346413846773,0.12398671789499005,False,False,False,False,False,False,False,True,False,False,False,True,False
137,-0.4001787346698652,-0.7066392746783967,9,109,-0.6349732995191844,-0.2658518255346344,False,False,False,False,False,False,False,True,False,False,False,True,False
15,-0.9164543044022413,-0.2528117205802297,8,74,1.7644669964152024,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,False,True
252,0.11609683506251094,-0.2528117205802297,0,71,-0.9434991184233981,1.8329236140992664,False,False,False,False,False,False,False,False,False,True,False,False,False
129,-0.4001787346698652,-0.7066392746783967,9,115,-0.8098691184306055,-0.06995782470984732,False,False,False,False,False,False,True,False,False,False,False,True,False
238,1.1486479745272633,-0.2528117205802297,9,40,0.39935904101366193,-0.5689932313606707,False,False,False,False,False,False,False,False,False,True,False,True,False
188,2.1811991139920153,0.6548433876161043,0,0,0.04231281245536969,1.4259889782929587,False,False,False,False,False,False,False,False,True,False,False,True,False
110,0.11609683506251094,-0.2528117205802297,9,116,-0.32209753928720997,0.19023003294953789,False,False,False,False,False,True,False,False,False,False,False,False,True
